"","NOM","PROV","CODINE","COMARCA","CODCOMA","POBMAY65","PLAZSHOT","PLAZSAPA","PLAZSCAM","PLAZSRUR","PLAZALB","PLAZREST","AGVIAJ","EMPTACT","TOTREGL","PVPUT11","PRYVPUT","PARO2015","VPAR0615","POB2015","VPOB0615","POBESP","POBEXT","POBEUR","INMRESI","PINMRES","INMLAB","PINMLAB","POREXTRAN","PREHUX15","VPRES615","GTOSHAB15","TFTRES15","VTFTRES","TFTREGL15","VTFTREG","TIPO"
"285","Albalat dels Sorells","Valencia",46009,"L'Horta Nord",13,"0.19",0,0,0,0,0,161,0,0,0,"962.5","962.5","0.13","1.24",3896,"0.08",3736,160,71,71,"0.02",89,"0.02","0.04","1050.51","0.12","552.09","0.01","-0.69","0","","LITORAL"
"289","Alboraya","Valencia",46013,"L'Horta Nord",13,"0.13",331,892,0,0,0,4471,1,0,1223,"10158.75","11381.75","0.1","1.35",23819,"0.12",21801,2018,1228,1228,"0.05",790,"0.03","0.08","4220.87","0.2","694.69","0.28","0.39","0.05","-0.38","LITORAL"
"290","Albuixech","Valencia",46014,"L'Horta Nord",13,"0.2",0,33,0,0,0,346,0,0,33,"1085","1118","0.13","1.27",3928,"0.11",3650,278,198,198,"0.05",80,"0.02","0.07","1141.98","0.16","906.26","0.07","-0.1","0.01","2.71","LITORAL"
"324","Bellreguard","Valencia",46048,"La Safor",25,"0.18",0,451,0,0,0,770,1,0,451,"6160","6611","0.13","1.45",4623,"0.1",4171,452,270,270,"0.06",182,"0.04","0.1","3939.39","0.01","630.37","1","-0.34","0.1","0.91","LITORAL"
"358","Canet d'En Berenguer","Valencia",46082,"El Camp de Morvedre",12,"0.13",405,1150,0,0,0,2032,0,0,1555,"22977.5","24532.5","0.08","1.35",6426,"0.37",6039,387,258,258,"0.04",129,"0.02","0.06","8055.3","0.5","1338.31","3.45","0.15","0.24","-0.32","LITORAL"
"381","Cullera","Valencia",46105,"La Ribera Baixa",21,"0.2",1306,4021,500,0,0,10763,6,7,5827,"64102.5","69929.5","0.15","1.4",22236,"-0.06",19416,2820,1896,1896,"0.09",924,"0.04","0.13","1712.45","0.04","1196.39","2.65","0.12","0.26","0.14","LITORAL"
"389","Daimús","Valencia",46113,"La Safor",25,"0.18",0,1506,419,0,0,2029,0,0,1925,"16205","18130","0.12","1.54",3054,"0.15",2827,227,157,157,"0.05",70,"0.02","0.07","6734.6","0.3","1034.43","5.2","0.17","0.63","0.02","LITORAL"
"402","Foios","Valencia",46126,"L'Horta Nord",13,"0.17",0,4,0,0,0,583,1,0,4,"1522.5","1526.5","0.13","1.18",7199,"0.15",6759,440,132,132,"0.02",308,"0.04","0.06","1346.55","0.15","557.89","0.02","-0.7","0","","LITORAL"
"407","Gandia","Valencia",46131,"La Safor",25,"0.16",5484,10423,1703,0,0,20861,24,0,17610,"78496.25","96106.25","0.16","2.17",75514,"0.01",60272,15242,8890,8890,"0.12",6352,"0.08","0.2","2821.1","-0.03","958","0.92","-0.07","0.23","0.15","LITORAL"
"416","Guardamar de la Safor","Valencia",46140,"La Safor",25,"0.11",0,244,0,0,0,78,0,0,244,"2922.5","3166.5","0.12","2.19",489,"0.55",454,35,18,18,"0.04",17,"0.03","0.07","3327.63","1.97","1815.95","5.83","1.94","0.5","2.15","LITORAL"
"419","Xeraco","Valencia",46143,"La Safor",25,"0.18",0,1436,195,0,0,1066,3,0,1631,"13440","15071","0.09","1.87",5881,"0.04",5067,814,555,555,"0.09",259,"0.04","0.14","1036.39","0.04","868.66","2.23","0.04","0.28","-0.09","LITORAL"
"439","Massalfassar","Valencia",46163,"L'Horta Nord",13,"0.14",272,26,0,0,0,455,1,0,298,"472.5","770.5","0.13","1.75",2473,"0.47",2309,164,135,135,"0.05",29,"0.01","0.07","1279.92","0.49","1027.25","0.05","","0.12","-0.25","LITORAL"
"440","Massamagrell","Valencia",46164,"L'Horta Nord",13,"0.16",0,2,0,0,0,732,4,0,2,"4865","4867","0.16","1.69",15523,"0.08",14506,1017,499,499,"0.03",518,"0.03","0.07","3308.71","0.19","708.63","0.13","1.98","0","-0.07","LITORAL"
